name,magnitude,x,y,z,spectra,color
HD 34642,4.810,4.908599,26.156164,-18.562012,K0/K1III/IV,0.987
HD 34503,3.590,27.668638,147.869248,-18.056628,B5III,-0.115
HD 34334,4.540,10.794657,58.493626,39.178443,K3III...,1.252
Gl 197,4.690,1.713487,9.509166,8.136149,G0V,0.630
HD 34559,4.960,12.416474,69.140625,28.519208,G8III,0.937
HD 34816,4.290,44.609015,250.278024,-59.518691,B0.5IV,-0.235
HD 34968,4.700,20.415286,117.121070,-46.208191,A0V,-0.048
HD 35039,4.720,47.312310,280.938174,-1.901776,B2IV-V,-0.168
HD 35149,4.990,76.738804,469.043727,29.439495,B1V,-0.096
HD 35369,4.130,7.487188,47.201778,-6.553529,G8III,0.943
HD 35411,3.350,46.180743,295.553220,-12.522729,B1V + B2,-0.240
HD 35439,4.890,48.768920,314.547885,10.261456,B1V:pe,-0.200
Bellatrix,1.640,11.658576,76.036136,8.560120,B2III,-0.224
Alnath,1.650,5.281578,35.650400,19.655456,B7III,-0.130
HD 35715,4.590,50.169162,344.287666,18.816533,B2IV,-0.199
HD 35708,4.880,25.011528,175.931393,71.568309,B2.5IV,-0.140
Nihal,2.810,6.349344,45.531613,-17.425966,G5II,0.807
HD 36167,4.710,20.507341,154.378852,-2.969161,K5III,1.592
HD 36267,4.200,11.740832,91.601407,9.621952,B5V,-0.143
HD 36597,3.860,8.234768,65.213718,-46.834868,K1II/III,1.130
HD 36512,4.620,106.296082,863.562613,-111.483545,B0V,-0.261
Mintaka,2.250,25.868117,210.729667,-1.108306,O9.5II,-0.175
HD 36389,4.320,62.986531,516.946545,175.200013,M2Ib,2.060
HD 36371,4.710,10046.583496,84028.272688,53275.843950,B5Iab,0.281
Arneb,2.580,76.877195,643.047236,-208.208000,F0Ib,0.211
HD 37350,3.760,16.370231,141.620663,-273.743541,F6Ia,0.640
HD 36822,4.390,36.048184,326.789901,54.956117,B0IV...,-0.157
HD 36960,4.780,53.503643,489.420150,-51.764207,B0.5V,-0.248
HD 36861,3.390,35.907504,329.702779,58.086365,O...,-0.160
HD 37020,4.980,10724.717134,98978.942834,-9388.789872,O7,
HD 37041,4.980,50.584197,469.098632,-44.733371,O9.5Vpe,-0.097
HD 37018,4.580,28.945888,268.481412,-22.857731,B2III...,-0.183
Hatsya,2.750,76.014147,706.411475,-73.546040,O9III,-0.210
Alnilam,1.690,62.775122,602.666910,-12.712683,B0Ia,-0.184
HD 37160,4.090,3.576264,35.371090,5.815826,G8III-IV,0.951
HD 37202,2.970,12.391949,126.637551,49.207351,B4IIIp,-0.148
HD 37468,3.770,30.430713,327.196967,-14.922443,O9.5V...,-0.190
Wo 9187,4.770,4.071114,44.062353,-5.600145,A4V,0.139
HD 37490,4.500,38.330467,420.891434,30.453889,B3IIIe,-0.098
Phakt,2.650,5.885917,66.110037,-44.893180,B7IV,-0.120
Alnitak,1.740,18.918488,224.809409,-7.651875,O9.5Ib SB,-0.199
HD 37756,4.950,22.993110,274.467450,-5.426942,B2IV-V,-0.197
HD 37711,4.840,15.234526,186.249582,55.475059,B3IV...,-0.125
HD 37984,4.900,6.872956,89.717105,2.316338,K1III,1.144
Gl 216A,3.590,0.558889,8.231515,-3.408750,F7V,0.481
HD 39014,4.340,1.251539,18.809293,-41.819199,A7V,0.217
Gl 217.1,3.550,1.188275,20.854933,-5.527610,A2Vann,0.104
Gl 219,3.850,0.677437,12.197820,-15.122127,A3V,0.171
Saiph,2.070,10.444137,195.314937,-33.326707,B0.5Iavar,-0.168
